level,function,cycles_avg,cycles_median,code_dimension,null_eta2
3,poly_decompress,18,19,1,False
3,polyvec_compress,327,327,1,False
3,polyvec_decompress,97,86,1,False
3,indcpa_keypair,21357,20979,1,False
3,indcpa_enc,20122,19826,1,False
3,indcpa_dec,1176,1162,1,False
3,kyber_keypair,30349,29660,1,False
3,kyber_encaps,41688,40407,1,False
3,kyber_decaps,32694,31748,1,False
3,kex_uake_initA,72521,71102,1,False
3,kex_uake_sharedB,74692,73125,1,False
3,kex_uake_sharedA,33323,32842,1,False
3,kex_ake_initA,70771,69387,1,False
3,kex_ake_sharedB,121454,114266,1,False
3,kex_ake_sharedA,65512,64652,1,False
5,gen_a,21184,20763,4,False
5,poly_getnoise_eta1,1463,1428,4,False
5,poly_getnoise_eta2,1443,1428,4,False
5,poly_getnoise_eta1_4x,1701,1676,4,False
5,NTT,149,150,4,False
5,INVNTT,167,167,4,False
5,polyvec_basemul_acc_montgomery,365,352,4,False
5,poly_tomsg,1002,990,4,False
5,poly_frommsg,78,65,4,False
5,poly_compress,37,37,4,False
5,poly_decompress,44,33,4,False
5,polyvec_compress,509,509,4,False
5,polyvec_decompress,170,170,4,False
5,indcpa_keypair,30742,29805,4,False
5,indcpa_enc,32141,32127,4,False
5,indcpa_dec,2638,2616,4,False
5,kyber_keypair,42722,41473,4,False
5,kyber_encaps,57226,56146,4,False
5,kyber_decaps,46961,46092,4,False
5,kex_uake_initA,98912,96618,4,False
5,kex_uake_sharedB,106064,103729,4,False
5,kex_uake_sharedA,47839,47309,4,False
5,kex_ake_initA,98305,96584,4,False
5,kex_ake_sharedB,164774,160316,4,False
5,kex_ake_sharedA,95150,93740,4,False
3,gen_a,14080,13365,1,True
3,poly_getnoise_eta1,1432,1397,1,True
3,poly_getnoise_eta2,1422,1398,1,True
3,poly_getnoise_eta1_4x,1652,1640,1,True
3,NTT,146,146,1,True
3,INVNTT,170,160,1,True
3,polyvec_basemul_acc_montgomery,199,198,1,True
3,poly_tomsg,15,15,1,True
3,poly_frommsg,22,23,1,True
3,poly_compress,13,13,1,True
3,poly_decompress,17,17,1,True
3,polyvec_compress,321,321,1,True
3,polyvec_decompress,84,84,1,True
3,indcpa_keypair,21555,20953,1,True
3,indcpa_enc,18537,18085,1,True
3,indcpa_dec,1200,1199,1,True
3,kyber_keypair,30363,30196,1,True
3,kyber_encaps,39541,38581,1,True
3,kyber_decaps,30749,30031,1,True
3,kex_uake_initA,70714,69169,1,True
3,kex_uake_sharedB,72854,72996,1,True
3,kex_uake_sharedA,31893,31171,1,True
3,kex_ake_initA,69136,67792,1,True
3,kex_ake_sharedB,110372,108706,1,True
3,kex_ake_sharedA,65201,63966,1,True
1,gen_a,5508,5275,4,True
1,poly_getnoise_eta1,2205,2176,4,True
