level,function,cycles_avg,cycles_median,code_dimension,null_eta2
1,kex_ake_sharedB,350413,341293,2,True
1,kex_ake_sharedA,262510,257145,2,True
5,gen_a,77593,76009,2,False
5,poly_getnoise_eta1,1557,1543,2,False
5,poly_getnoise_eta2,1542,1537,2,False
5,NTT,6490,6451,2,False
5,INVNTT,9158,9148,2,False
5,polyvec_basemul_acc_montgomery,13241,13110,2,False
5,poly_tomsg,413,412,2,False
5,poly_frommsg,83,83,2,False
5,poly_compress,713,713,2,False
5,poly_decompress,467,467,2,False
5,polyvec_compress,3804,3814,2,False
5,polyvec_decompress,2454,2389,2,False
5,indcpa_keypair,222771,215634,2,False
5,indcpa_enc,229462,223780,2,False
5,indcpa_dec,51717,51242,2,False
5,kyber_keypair,230454,225477,2,False
5,kyber_encaps,261371,252673,2,False
5,kyber_decaps,297038,289417,2,False
5,kex_uake_initA,503670,493322,2,False
5,kex_uake_sharedB,565759,555965,2,False
5,kex_uake_sharedA,306260,292047,2,False
5,kex_ake_initA,507955,493886,2,False
5,kex_ake_sharedB,826977,804756,2,False
5,kex_ake_sharedA,606299,593805,2,False
1,gen_a,19192,18871,4,False
1,poly_getnoise_eta1,2321,2287,4,False
1,poly_getnoise_eta2,1542,1527,4,False
1,NTT,6172,6162,4,False
1,INVNTT,9536,9269,4,False
1,polyvec_basemul_acc_montgomery,6649,6561,4,False
1,poly_tomsg,926,908,4,False
1,poly_frommsg,57,57,4,False
1,poly_compress,141,142,4,False
1,poly_decompress,33,34,4,False
1,polyvec_compress,1790,1767,4,False
1,polyvec_decompress,1298,1194,4,False
1,indcpa_keypair,81378,79642,4,False
1,indcpa_enc,95379,92727,4,False
1,indcpa_dec,33824,32624,4,False
1,kyber_keypair,89562,85635,4,False
1,kyber_encaps,112830,110074,4,False
1,kyber_decaps,138596,135958,4,False
1,kex_uake_initA,201513,196197,4,False
1,kex_uake_sharedB,251867,243939,4,False
1,kex_uake_sharedA,136221,133710,4,False
1,kex_ake_initA,201051,196122,4,False
1,kex_ake_sharedB,365352,355621,4,False
1,kex_ake_sharedA,276640,267645,4,False
5,gen_a,76674,74693,1,True
5,poly_getnoise_eta1,1516,1490,1,True
5,poly_getnoise_eta2,1500,1491,1,True
5,NTT,6372,6210,1,True
5,INVNTT,8620,8544,1,True
5,polyvec_basemul_acc_montgomery,12805,12655,1,True
5,poly_tomsg,172,172,1,True
5,poly_frommsg,212,212,1,True
5,poly_compress,682,680,1,True
5,poly_decompress,446,445,1,True
5,polyvec_compress,3731,3661,1,True
5,polyvec_decompress,2411,2393,1,True
5,indcpa_keypair,220003,215987,1,True
5,indcpa_enc,226144,219886,1,True
5,indcpa_dec,53229,53111,1,True
5,kyber_keypair,235106,230937,1,True
5,kyber_encaps,253361,244629,1,True
5,kyber_decaps,298928,287410,1,True
5,kex_uake_initA,501246,490561,1,True
5,kex_uake_sharedB,545082,537986,1,True
5,kex_uake_sharedA,289352,281959,1,True
5,kex_ake_initA,494630,485884,1,True
5,kex_ake_sharedB,810023,795899,1,True
5,kex_ake_sharedA,585301,574900,1,True
5,gen_a,77504,75969,4,False
5,poly_getnoise_eta1,1588,1541,4,False
5,poly_getnoise_eta2,1562,1537,4,False
5,NTT,6379,6280,4,False
5,INVNTT,9374,9283,4,False
5,polyvec_basemul_acc_montgomery,12976,12904,4,False
5,poly_tomsg,954,926,4,False
5,poly_frommsg,60,61,4,False
5,poly_compress,697,696,4,False
5,poly_decompress,455,455,4,False
5,polyvec_compress,3835,3725,4,False
5,polyvec_decompress,2521,2452,4,False
5,indcpa_keypair,222897,216034,4,False
5,indcpa_enc,231563,225255,4,False
5,indcpa_dec,56400,53288,4,False
5,kyber_keypair,238636,230341,4,False
5,kyber_encaps,277263,265741,4,False
5,kyber_decaps,313643,298943,4,False
5,kex_uake_initA,518442,497524,4,False
5,kex_uake_sharedB,567797,558479,4,False
5,kex_uake_sharedA,309300,299821,4,False
5,kex_ake_initA,505798,487807,4,False
5,kex_ake_sharedB,883971,846494,4,False
5,kex_ake_sharedA,629199,597742,4,False
